[RUN #0 10 5]
537 -497 -121 -960 -294 892 217 405 812 -733
-685 598 -666 -525 -54 455 -725 894 969 -35
507 -142 969 968 753 147 -754 -197 -310 11
688 -343 13 -523 366 271 -774 -909 289 -633
-166 485 506 -780 -451 -925 -641 -792 -267 702
[RUN #1 5 5]
-441 -409 13 -919 -673
508 -488 -781 900 435
695 540 -144 642 -762
-701 996 -331 37 -881
-475 -698 621 20 170
657 -880 -465 51 -554
-254 538 975 -793 99
286 -885 -504 453 424
89 -270 374 431 902
-703 -252 -372 237 -161
525 -647 173 -363 -155
897 -169 -315 372 -799
84 -464 -611 428 -307
-361 524 -394 543 453
345 33 -184 -174 112
521 -877 -536 -466 -228
163 46 -180 600 430
339 681 97 309 -205
936 -100 332 -532 974
58 -151 -861 283 62
709 -243 -72 -969 -128
333 560 949 441 -443
-177 -277 527 288 -236
-263 332 -432 -356 943
-723 -59 317 -802 210
188 240 -296 -991 -581
-874 -598 -399 -370 -385
791 764 564 -437 -193
-870 -125 611 -159 -37
-348 580 -894 -511 155
-427 -311 719 -120 945
857 756 815 412 -917
-39 417 75 -232 -701
433 -820 -78 159 -156
346 716 871 -8 -658
225 525 757 -892 662
31 -760 838 -179 248
-812 38 868 738 627
792 910 619 206 -452
-355 -281 151 745 573
-457 -672 -335 640 -167
591 111 835 -320 257
[RUN #4 4 80]
640 -113 183 -152
-951 -985 -938 -51
539 -264 142 -104
-59 297 144 -728
-993 256 227 324
79 -608 -791 -472
333 725 -839 -882
978 -525 -18 35
-92 -434 413 -362
-3 795 452 -884
486 369 -684 -823
27 -405 628 -999
-194 -257 435 -106
-388 -73 579 173
-55 986 -133 6
-660 145 152 -237
673 164 853 8
-446 -130 -784 -719
859 631 53 958
-942 817 288 947
206 391 -539 736
420 -84 -891 -726
245 -306 -15 -4
-14 -645 -770 -483
-617 539 -348 713
-342 -573 293 6
-436 -203 -33 369
-240 -742 397 261
337 -286 -712 -545
333 -737 441 469
-568 515 682 -631
-59 -910 -550 -174
-23 470 472 -577
146 748 -571 -51
-4 -213 -558 -632
17 -733 -527 -75
-960 -435 218 -686
-824 601 72 -31
813 -597 -181 731
-148 -296 373 394
-121 -966 -536 643
-21 -509 634 168
-855 680 855 -345
12 -865 127 -290
260 -450 859 870
596 260 -260 -871
8 -580 489 164
-434 -550 -955 -289
-872 183 92 -847
843 -453 799 -86
-732 811 980 728
795 96 193 174
-715 871 291 878
-816 630 521 -365
-754 15 -646 178
381 241 760 400
204 -275 -792 978
471 -807 390 734
-438 277 -537 520
448 -478 -30 316
811 -591 204 -927
-583 -61 -476 256
578 85 -581 934
156 -675 689 288
354 344 -146 659
-684 -455 -804 -316
957 -441 -161 500
947 161 -271 -52
-649 314 -281 603
696 431 -8 127
744 -205 947 -852
-894 -173 -368 551
136 -985 -582 -795
-15 -409 804 -823
208 243 -164 -187
-97 963 830 986
410 88 -969 -283
21 -379 598 -276
-568 -787 -74 -969
313 866 517 541
[RUN #5 8 80]
-511 965 63 517 -830 992 264 -134
958 949 -323 -824 20 136 -68 15
-734 -170 258 688 -558 543 443 588
-253 848 -179 541 935 -267 899 -222
510 931 508 916 -830 480 -831 -812
454 534 -725 -419 -771 96 278 860
424 -798 341 -805 -432 828 284 -843
449 -929 915 -870 160 -706 -897 598
-605 559 719 200 -20 -283 -748 -854
815 5 174 -39 18 -106 73 955
-815 -546 546 768 -319 -118 751 -560
-636 -468 167 92 15 952 -519 -413
975 955 -60 348 626 643 -934 193
990 972 -840 128 454 -970 -613 854
-790 -737 52 127 -953 -546 -686 953
-810 609 590 -279 55 972 423 -570
-473 -583 273 542 830 552 -276 444
-414 -366 901 -416 314 -38 -31 647
13 -76 667 743 956 766 -512 -687
-192 232 -107 -521 -53 28 838 278
